id,type,udid,host,port,protocol,path,max_sessions,active_sessions,status,platform,platform_version,deviceName,resources
iPhone8-ios16,physical,f67d7ce40691d9ab546d7362a4cc7a6182870de2,10.160.13.112,4724,http,/wd/hub,1,0,online,iOS,16.0,iPhone8-ios16,"{""session_data"": {""appium:xcodeSigningId"": ""App Development"",""appium:automationName"": ""XCUITest"",""platformName"": ""iOS"",""appium:deviceName"": ""iPhone8-ios16"",""appium:udid"": ""f67d7ce40691d9ab546d7362a4cc7a6182870de2"",""appium:bundleId"": ""FortiToken-Mobile"",""appium:wdaLocalPort"": ""8101""}}"
iPhone12-ios17,physical,00008101-00040DEE34B9001E,10.160.13.112,4725,http,/wd/hub,1,0,online,iOS,17.0,iPhone12-ios17,"{""session_data"": {""appium:xcodeSigningId"": ""App Development"",""appium:automationName"": ""XCUITest"",""platformName"": ""iOS"",""appium:deviceName"": ""iPhone12-ios17"",""appium:udid"": ""00008101-00040DEE34B9001E"",""appium:bundleId"": ""FortiToken-Mobile"",""appium:wdaLocalPort"": ""8102""}}"
iPhone11-ios26,physical,00008030-0018145A1A63402E,10.160.13.112,4726,http,/wd/hub,1,0,online,iOS,26.0,iPhone11-ios26,"{""session_data"": {""appium:xcodeSigningId"": ""App Development"",""appium:automationName"": ""XCUITest"",""platformName"": ""iOS"",""appium:deviceName"": ""iPhone11-ios26"",""appium:udid"": ""00008030-0018145A1A63402E"",""appium:bundleId"": ""FortiToken-Mobile"",""appium:wdaLocalPort"": ""8103""}}"
iPhone7-ios15,physical,05bf6eed0a0744d8d2acf2cc7164b3dac9288aba,10.160.13.112,4727,http,/wd/hub,1,0,online,iOS,15.0,iPhone7-ios15,"{""session_data"": {""appium:xcodeSigningId"": ""App Development"",""appium:automationName"": ""XCUITest"",""platformName"": ""iOS"",""appium:deviceName"": ""iPhone7-ios15"",""appium:udid"": ""05bf6eed0a0744d8d2acf2cc7164b3dac9288aba"",""appium:bundleId"": ""FortiToken-Mobile"",""appium:wdaLocalPort"": ""8104""}}"
samsung_22,physical,R5CT44LW5LX,10.160.13.110,4723,http,/wd/hub,1,0,online,Android,14.0,samsung_22,"{""session_data"": {""platformName"": ""Android"", ""appium:platformVersion"": ""14"",""appium:udid"": ""R5CT44LW5LX"", ""appium:automationName"": ""UiAutomator2"", ""appium:app"": ""/home/ljiahao/apks/ftm_v5.3.4.0092.apk"", ""appium:autoGrantPermissions"": true, ""appium:skipDeviceInitialization"": true, ""appium:ignoreHiddenApiPolicyError"": true, ""appium:settings[enableMultiWindows]"": true, ""appium:appPackage"": ""com.fortinet.android.ftm"", ""appium:appActivity"": "".StartActivity"", ""appium:androidSdkRoot"": ""/home/ljiahao/Android/Sdk""}}"
